日,날일,じつ·にち,か·ひ
骨,뼈 골,こつ,ほね
届,이를 계,,とどく·とどける
巻,쇠뇌 권,かん,まき·まく
況,상황 황,きょう,
慣,익숙할 관,かん,ならす·なれる
鼻,코 비,び,はな
閉,닫을 폐,へい,しまる·しめる·とじる·とざす
毒,독 독,どく,
突,갑자기 돌,とつ,つく
暮,저물 모,ぼ,くらす·くれる
液,"진 액, 담글 석",えき,
簡,"대쪽 간, 간략할 간",かん,
貧,가난할 빈,びん·ひん,まずしい
臓,오장 장,ぞう,
律,법칙 률(율),りつ·りち,
祖,할아비 조,そ,
湾,물굽이 만,わん,
粉,가루 분,ふん,こ·こな
純,"순수할 순, 검은 비단 치",じゅん,
捜,찾을 수,そう,さがす
超,뛰어넘을 초,ちょう,こえる·こす
吸,마실 흡,きゅう,すう
療,"병 고칠 료(요), 병 삭",りょう,
捕,잡을 포,ほ,つかまえる·つかまる·とらえる·とらわれる·とる
翌,다음날 익,よく,
介,낄 개,かい,
片,조각 편,へん,かた
敬,공경 경,けい,うやまう
迎,맞을 영,げい,むかえる
販,팔 판,はん,
泉,샘 천,せん,いずみ
幅,"폭 폭, 행전 핍",ふく,はば
彼,저 피,ひ,かの·かれ
般,"가지 반, 일반 반",はん,
舞,춤출 무,ぶ,まい·まう
忘,잊을 망,ぼう,わすれる
込,담을 입,,こむ·こめる
皿,그릇 명,,さら
宝,보배 보,ほう,たから
換,바꿀 환,かん,かえる·かわる
胸,가슴 흉,きょう,むね·むな
砂,모래 사,さ·しゃ,すな
占,"점령할 점, 점칠 점",せん,うらなう·しめる
鉱,"쇳돌 광, 광물 광",こう,
誤,그르칠 오,ご,あやまる
灯,등잔 등,とう,ひ
頼,의지할 뢰,らい,たのむ·たのもしい·たよる
洗,씻을 세,せん,あらう
途,길 도,と,
枝,"가지 지, 육손이 기",し,えだ
抜,뺄 발,ばつ,ぬかす·ぬかる·ぬく·ぬける
尊,"높을 존, 술그릇 준",そん,たっとい·たっとぶ·とうとい·とうとぶ
伸,펼 신,しん,のばす·のびる·のべる
窓,"창 창, 굴뚝 총",そう,まど
爆,"불 터질 폭, 지질 박",ばく,
胃,밥통 위,い,
普,넓을 보,ふ,
婚,혼인할 혼,こん,
齢,나이 령,れい,
幼,어릴 유,よう,おさない
浮,뜰 부,ふ,うかぶ·うかべる·うかれる·うく
押,"누를 압, 단속할 갑",おう,おさえる·おす
倒,넘어질 도,とう,たおす·たおれる
了,"마칠 료(요), 밝을 료(요)",りょう,
患,근심 환,かん,わずらう
絡,"이을 락(낙), 없을 락(낙)",らく,からまる·からむ·からめる
募,"모을 모, 뽑을 모",ぼ,つのる
捨,"버릴 사, 집 사",しゃ,すてる
払,떨칠 불,ふつ,はらう
綿,솜 면,めん,わた
育,기를 육,いく,そだつ·そだてる·はぐくむ
改,고칠 개,かい,あらたまる·あらためる
乗,탈 승,じょう,のせる·のる
初,처음 초,しょ,はじめ·はじめて·はつ·そめる·うい
想,생각 상,そう·そ,
農,농사 농,のう,
州,고을 주,しゅう,す
産,낳을 산,さん,うまれる·うむ·うぶ
助,도울 조,じょ,たすかる·たすける·すけ
府,마을 부,ふ,
園,동산 원,えん,その
共,한가지 공,きょう,とも
得,얻을 득,とく,える·うる
追,"쫓을 추, 따를 추, 갈 퇴, 따를 수",つい,おう
馬,말 마,ば,うま·ま
商,장사 상,しょう,あきなう
葉,"잎 엽, 맞을 협, 성 섭",よう,は
告,"고할 고, 뵈고 청할 곡",こく,つげる
軍,군사 군,ぐん,
落,떨어질 락(낙),らく,おちる·おとす
参,참여할 참,さん,まいる
利,이할 리(이),り,きく
信,믿을 신,しん,
負,질 부,ふ,おう·まかす·まける
側,곁 측,そく,がわ
求,구할 구,きゅう,もとめる
顔,낯 안,がん,かお
昨,어제 작,さく,
守,지킬 수,しゅ·す,まもる·もり
官,벼슬 관,かん,
美,아름다울 미,び,うつくしい
命,목숨 명,めい·みょう,いのち
変,변할 변,へん,かえる·かわる
福,복 복,ふく,
各,각각 각,かく,おのおの
政,정사 정,せい·しょう,まつりごと
横,가로 횡,おう,よこ
深,깊을 심,しん,ふかい·ふかまる·ふかめる
果,"실과 과, 열매 과",か,はたす·はて·はてる
船,배 선,せん,ふな·ふね
申,납 신,しん,もうす
必,반드시 필,ひつ,かならず
様,모양 양,よう,さま
港,항구 항,こう,みなと
争,다툴 쟁,そう,あらそう
無,없을 무,ぶ·む,ない
位,자리 위,い,くらい
置,둘 치,ち,おく
草,풀 초,そう,くさ
階,섬돌 계,かい,
羽,깃 우,う,は·はね
路,길 로(노),ろ,じ
経,"날 경, 지날 경",けい·きょう,へる
現,나타날 현,げん,あらわす·あらわれる
他,다를 타,た,ほか
費,쓸 비,ひ,ついやす·ついえる
付,부칠 부,ふ,つく·つける
橋,다리 교,きょう,はし
説,말씀 설,せつ·ぜい,とく
岸,언덕 안,がん,きし
客,손 객,きゃく·かく,
性,성품 성,せい·しょう,
岩,바위 암,がん,いわ
夫,지아비 부,ふ·ふう,おっと
制,절제할 제,せい,
務,"힘쓸 무, 업신여길 모",む,つとまる·つとめる
登,오를 등,と·とう,のぼる
速,빠를 속,そく,はやい·はやまる·はやめる·すみやか
角,뿔 각,かく,かど·つの
央,가운데 앙,おう,
総,거느릴 총,そう,
号,"부르짖을 호, 부를 호",ごう,
害,"해할 해, 어느 할",がい,
副,"버금 부, 쪼갤 복",ふく,
領,거느릴 령(영),りょう,
席,자리 석,せき,
設,베풀 설,せつ,もうける
池,못 지,ち,いけ
残,"해칠 잔, 잔인할 잔",ざん,のこす·のこる
支,지탱할 지,し,ささえる
星,별 성,せい·しょう,ほし
念,생각 념(염),ねん,
根,뿌리 근,こん,ね
象,코끼리 상,しょう·ぞう,
報,"갚을 보, 알릴 보",ほう,むくいる
苦,"쓸 고, 땅 이름 호",く,くるしい·くるしむ·くるしめる·にがい·にがる
労,일할 로,ろう,
例,법식 례(예),れい,たとえる
然,그럴 연,ぜん·ねん,
具,갖출 구,ぐ,
解,풀 해,かい·げ,とかす·とく·とける
資,재물 자,し,
際,"즈음 제, 가 제",さい,きわ
査,조사할 사,さ,
伝,전할 전,でん,つたう·つたえる·つたわる
働,굼닐 동,どう,はたらく
景,볕 경,けい,
好,좋을 호,こう,このむ·すく
判,판단할 판,はん·ばん,
寺,"절 사, 내시 시",じ,てら
銅,구리 동,どう,
昇,오를 승,しょう,のぼる
腹,배 복,ふく,はら
遅,"늦을 지, 더딜 지",ち,おくらす·おくれる·おそい
乳,젖 유,にゅう,ちち·ち
紅,"붉을 홍, 상복 공",こう·く,べに·くれない
冊,책 책,さつ·さく,
香,향기 향,こう·きょう,か·かおり·かおる
更,"고칠 경, 다시 갱",こう,さら·ふかす·ふける
抱,안을 포,ほう,いだく·かかえる·だく
恐,두려울 공,きょう,おそれる·おそろしい
耕,밭 갈 경,こう,たがやす
卵,알 란(난),らん,たまご
戻,어그러질 려,れい,もどす·もどる
巨,클 거,きょ,
震,"우레 진, 애 밸 신",しん,ふるう·ふるえる
干,"방패 간, 줄기 간, 마를 건",かん,ほす·ひる
頂,정수리 정,ちょう,いただき·いただく
越,"넘을 월, 부들자리 활",えつ,こえる·こす
触,닿을 촉,しょく,さわる·ふれる
依,의지할 의,い·え,
籍,"문서 적, 온화할 자",せき,
汚,"더러울 오, 팔 와",お,きたない·よごす·よごれる·けがす·けがらわしい·けがれる
互,서로 호,ご,たがい
逃,도망할 도,とう,にがす·にげる·のがす·のがれる
傾,기울 경,けい,かたむく·かたむける
緒,실마리 서,しょ·ちょ,お
跡,발자취 적,せき,あと
駐,머무를 주,ちゅう,
紹,이을 소,しょう,
晩,늦을 만,ばん,
雇,"품 팔 고, 새 이름 호",こ,やとう
替,"바꿀 체, 참람할 참",たい,かえる·かわる
拝,절 배,はい,おがむ
棒,막대 봉,ぼう,
贈,줄 증,そう·ぞう,おくる
薄,"엷을 박, 동자기둥 벽, 풀 이름 보",はく,うすい·うすまる·うすめる·うすらぐ·うすれる
奥,"속 오, 아랫목 오",おう,おく
詰,"물을 힐, 꾸짖을 힐",きつ,つまる·つむ·つめる
掛,걸 괘,,かかり·かかる·かける
双,"둘 쌍, 쌍 쌍",そう,ふた
刺,"찌를 자, 찌를 척, 수라 라(나)",し,ささる·さす
到,이를 도,とう,
寝,잠잘 침,しん,ねかす·ねる
盗,훔칠 도,とう,ぬすむ
悩,번뇌할 뇌,のう,なやます·なやむ
御,거느릴 어,ぎょ·ご,おん
蒸,찔 증,じょう,むす·むらす·むれる
荒,거칠 황,こう,あらい·あらす·あれる
硬,굳을 경,こう,かたい
埋,묻을 매,まい,うまる·うめる·うもれる
袋,자루 대,たい,ふくろ
吹,불 취,すい,ふく
封,봉할 봉,ふう·ほう,
娘,계집 낭,,むすめ
賢,어질 현,けん,かしこい
腕,팔뚝 완,わん,うで
床,상 상,しょう,とこ·ゆか
詞,"말 사, 글 사",し,
柔,부드러울 유,じゅう·にゅう,やわらか·やわらかい
殿,전각 전,てん·でん,との·どの
濃,짙을 농,のう,こい
肩,어깨 견,けん,かた
机,"책상 궤, 모탕 예",き,つくえ
零,"떨어질 령(영)/영 령(영), 족족 이름 련(연)",れい,
怒,성낼 노(로),ど,いかる·おこる
泊,"머무를 박, 배 댈 박, 잔 물결 백",はく,とまる·とめる
杯,잔 배,はい,さかずき
甘,달 감,かん,あまい·あまえる·あまやかす
掃,쓸 소,そう,はく
掘,"팔 굴, 뚫을 궐",くつ,ほる
灰,재 회,かい,はい
疲,피곤할 피,ひ,つかれる
皆,다 개,かい,みな
軟,연할 연,なん,やわらか·やわらかい
沈,"잠길 침, 성 심",ちん,しずむ·しずめる
凍,얼 동,とう,こおる·こごえる
煙,"연기 연, 원기 인",えん,けむい·けむり·けむる
恋,사모할 련,れん,こい·こいしい·こう
郊,들 교,こう,
腰,허리 요,よう,こし
踊,뛸 용,よう,おどり·おどる
眠,잘 면,みん,ねむい·ねむる
怖,두려워할 포,ふ,こわい
珍,보배 진,ちん,めずらしい
喫,먹을 끽,きつ,
溶,녹을 용,よう,とかす·とく·とける
涙,눈물 루,るい,なみだ
匹,"짝 필, 집오리 목",ひつ,ひき
鋭,날카로울 예,えい,するどい
塗,"칠할 도, 길 도",と,ぬる
軒,집 헌,けん,のき
叫,부르짖을 규,きょう,さけぶ
乾,"하늘 건, 마를 건",かん,かわかす·かわく
祈,빌 기,き,いのる
髪,터럭 발,はつ,かみ
忙,바쁠 망,ぼう,いそがしい
汗,땀 한,かん,あせ
湿,"축축할 습, 젖을 습",しつ,しめす·しめる
瓶,병 병,びん,
蕗,"감초 로, 감초 노",ろ,ふき
柾,나뭇결 바름 정,,まさ·まさき
亦,"또 역, 겨드랑이 액",えき·やく,また·わき
麿,갈 마,,まろ
椋,푸조나무 량,りょう,むく
冶,풀무 야,や,
耶,"어조사 야, 간사 사",や,か
宥,너그러울 유,ゆう,なだめる·ゆるす
蓉,연꽃 용,よう,
璃,유리 리(이),り,
瞭,밝을 료(요),りょう,
諒,"살펴 알 량(양), 믿을 량(양)",りょう,さとる·まこと
琳,옥 림,りん,
麟,기린 린(인),りん,きりん
伶,영리할 령(영),りょう·れい,さかしい·わざおぎ
侑,권할 유,う·ゆう,すすめる·たすける·むくいる·ゆるす
勁,굳셀 경,けい,つよい
奎,별 규,き·けい,とかきぼし·また
崚,험하다 릉,りょう,けわしい·たかい
昴,별 이름 묘,ぼう,すばる
晏,늦다 안,あん,おそい·やすらか
晨,새벽 신,しん,あした·とき·よあけ
晟,밝을 성,せい,あきらか·さかん
栞,표목 간,かん,しおり
椰,야자나무 야,や,やし
洵,"참으로 순, 멀 현",しゅん·じゅん,まこと·まことに
滉,깊을 황,こう,ひろい
澪,"깨우칠 령, 깨우칠 영, 강 이름 령, 강 이름 영",れい,みお
燎,횃불 료(요),りょう,かがりび·やく
燿,"빛날 요, 녹일 삭",よう,かがやき·かがやく·かがよう
瑶,아름다운 옥 요,よう,たま
眸,눈동자 모,ぼう·む,ひとみ
笙,생황 생,しょう,しょうのふえ·ふえ
綸,"벼리 륜(윤), 허리끈 관",かん·りん,いと·おさめる
茉,말리 말,ばつ·まつ,
莉,말리 리(이),り·れい,
菫,제비꽃 근,きん,すみれ·とりかぶと
詢,물을 순,しゅん·じゅん,とう·はかる·まこと
諄,타이를 순,しゅん·じゅん,あつい·くどい·ねんごろ·まこと
迪,나아갈 적,てき,みち·みちびく·すすむ·ふむ
頌,"칭송할 송, 기릴 송",じゅ·しょう·よう,かたち·たたえる·ほめる·ゆるやか
颯,"바람 소리 사, 큰 바람 립(입)",さつ·そう,はやて
凜,차다 름,りん,さむい·すさまじい
熙,빛날 희,き,ああ·たのしむ·ひかる·ひろい·やわらぐ·よろこぶ
淳,순박할 순,じゅん,あつい·すなお
偵,염탐할 정,てい,
喝,"꾸짖을 갈, 목이 맬 애",かつ,
敢,"감히 감, 구태여 감",かん,
胎,아이 밸 태,たい,
酵,삭힐 효,こう,
憤,분할 분,ふん,いきどおる
豚,돼지 돈,とん,ぶた
鳩,비둘기 구,きゅう·く,あつまる·あつめる·はと·やすんずる
遮,"가릴 차, 이 저",しゃ,さえぎる
扉,사립문 비,ひ,とびら
硫,유황 류(유),りゅう,
赦,용서할 사,しゃ,
窃,훔칠 절,せつ,
泡,거품 포,ほう,あわ
又,또 우,,また
慨,슬퍼할 개,がい,
紡,김쌀 방,ぼう,つむぐ
恨,한 한,こん,うらむ·うらめしい
肪,기름 방,ぼう,
桂,계수나무 계,けい,かつら
扶,"도울 부, 기어갈 포",ふ,
戯,놀 희,ぎ,たわむれる
虎,범 호,こ,とら
忌,꺼릴 기,き,いまわしい·いむ
晋,"진나라 진, 물 이름 전",しん,すすむ
濁,흐릴 탁,だく,にごす·にごる
奔,달릴 분,ほん,
斗,"말 두, 싸울 두, 싸울 투, 싸울 각",と,
迅,빠를 신,じん,
肖,"닮을 초, 같을 초, 꺼질 소",しょう,
鉢,바리때 발,はち·はつ,
朽,썩을 후,きゅう,く.ちる
殻,껍질 각,かく,から
享,누릴 향,きょう,
晃,밝을 황,こう,あきらか·ひかる
桐,오동나무 동,とう·どう,きり
藩,울타리 번,はん,
媒,중매 매,ばい,
鶏,닭 계,けい,にわとり
禅,고요할 선,ぜん,
嘱,부탁할 촉,しょく,
鷹,매 응,おう·よう,たか
胴,"큰창자 동, 몸통 동",どう,
迭,"번갈아들 질, 범할 일",てつ,
挿,꽂을 삽,そう,さす
猪,돼지 저,ちょ,い·いのしし
紘,끈 굉,こう,おおづな·ひろい
弥,두루 미,,や
陪,모실 배,ばい,
剖,쪼갤 부,ぼう,
譜,족보 보,ふ,
庄,"씩씩할 장, 전장 장",しょう·そう,いなか·むらざと
悠,멀 유,ゆう,
淑,맑을 숙,しゅく,
敦,"도타울 돈, 다스릴 퇴, 제기 대, 모일 단, 아로새길 조, 덮을 도",とん,あつい
帆,돛 범,はん,ほ
暁,새벽 효,ぎょう,あかつき
傑,뛰어날 걸,けつ,
奴,종 노,ど,
祐,"복 우, 도울 우",ゆう,たすけ·たすける
錠,덩이 정,じょう,
鵬,붕새 붕,ほう,おおとり
遷,옮길 천,せん,
拙,졸할 졸,せつ,つたない
侍,모실 시,じ,さむらい
峠,고개 상,,とうげ
篤,도타울 독,とく,
渇,목마를 갈,かつ,かわく
叔,아재비 숙,しゅく,
雌,암컷 자,し,め·めす
堪,견딜 감,かん,たえる
叙,"서술할 서, 펼 서",じょ,
酢,"신맛 조미료 초, 잔 돌릴 작",さく,す
亘,"뻗칠 긍, 베풀 선",こう·せん,わたる
吟,읊을 음,ぎん,
逓,갈마들 체,てい,
甚,甚,じん,はなはだ·はなはだしい
媛,여자 원,えん,
崇,높을 숭,すう,
笹,조릿대 세,,ささ
漆,"옻 칠, 일곱 칠",しつ,うるし
岬,곶 갑,,みさき
癖,버릇 벽,へき,くせ
愉,"즐거울 유, 구차할 투",ゆ,
礁,암초 초,しょう,
屯,"진칠 둔, 어려울 준",とん,
姻,혼인 인,いん,
綾,비단 릉(능),りょう·りん,あや
擬,비길 의,ぎ,
塀,담 병,へい,
唇,"놀랄 진, 입술 순",しん,くちびる
閑,한가할 한,かん,
幽,그윽할 유,ゆう,
毅,굳셀 의,き,たけし·つよい
曹,"무리 조, 성 조",そう,
詠,읊을 영,えい,よむ
稔,여물 임,じん·にん·ねん,つむ·とし·みのる
卑,낮을 비,ひ,いやしい·いやしむ·いやしめる
侮,업신여길 모,ぶ,あなどる
援,도울 원,えん,
帳,장막 장,ちょう,
梅,매화 매,ばい,うめ
施,"베풀 시, 옮길 이",し·せ,ほどこす
銭,돈 전,せん,ぜに
井,우물 정,しょう·せい,い
謝,사례할 사,しゃ,あやまる
鮮,고울 선,せん,あざやか
仮,거짓 가,か·け,かり
密,빽빽할 밀,みつ,
賀,하례할 하,が,
我,나 아,が,われ·わ
幕,장막 막,ばく·まく,
染,물들 염,せん,そまる·そめる·しみ·しみる
傷,다칠 상,しょう,きず·いたむ·いためる
秘,숨길 비,ひ,ひめる
監,볼 감,かん,
環,고리 환,かん,
徳,"덕 덕, 큰 덕",とく,
審,살필 심,しん,
訴,호소할 소,そ,うったえる
刀,칼 도,とう,かたな
弓,활 궁,きゅう,ゆみ
牧,칠 목,ぼく,まき
縮,줄일 축,しゅく,ちぢまる·ちぢむ·ちぢめる·ちぢらす·ちぢれる
影,그림자 영,えい,かげ
泣,울 읍,きゅう,なく
撃,칠 격,げき,うつ
佐,도울 좌,さ,
核,씨 핵,かく,
序,차례 서,じょ,
融,녹을 융,ゆう,
射,"쏠 사, 벼슬 이름 야, 맞힐 석, 싫어할 역",しゃ,いる
舎,집 사,しゃ,
揮,"휘두를 휘, 표기 휘, 휘드를 혼",き,
渉,건널 섭,しょう,
響,울릴 향,きょう,ひびく
賃,품삯 임,ちん,
貴,귀할 귀,き,たっとい·たっとぶ·とうとい·とうとぶ
藤,등나무 등,とう,ふじ
敵,"대적할 적, 다할 활",てき,かたき
請,청할 청,せい·しん,うける·こう
径,지름길 경,けい,
攻,칠 공,こう,せめる
納,들일 납,のう·とう·なっ·な·なん,おさまる·おさめる
崎,험할 기,,さき
樹,나무 수,じゅ,
督,감독할 독,とく,
催,재촉할 최,さい,もよおす
酸,실 산,さん,すい
至,이를 지,し,いたる
宗,마루 종,しゅう·そう,
及,미칠 급,きゅう,および·およぶ·およぼす
宙,집 주,ちゅう,
離,"떠날 리(이), 산신 리(이)",り,はなす·はなれる
桜,앵두나무 앵,おう,さくら
操,잡을 조,そう,あやつる·みさお
句,"글귀 구, 글귀 귀",く,
摘,딸 적,てき,つむ
脈,줄기 맥,みゃく,
郎,사내 랑,ろう,
誕,"낳을 탄, 거짓 탄",たん,
孝,효도 효,こう,
訳,통변할 역,やく,わけ
鏡,거울 경,きょう,かがみ
看,볼 간,かん,
奏,아뢸 주,そう,かなでる
振,떨칠 진,しん,ふる·ふるう·ふれる
郷,시골 향,きょう·ごう,
献,바칠 헌,けん·こん,
維,벼리 유,い,
己,몸 기,こ·き,おのれ
浜,"물가 빈, 선거 병",ひん,はま
塁,진 루,るい,
邦,나라 방,ほう,
墓,무덤 묘,ぼ,はか
汽,"물 끓는 김 기, 거의 흘",き,
忠,충성 충,ちゅう,
遣,보낼 견,けん,つかう·つかわす
抗,겨룰 항,こう,
沿,"물 따라갈 연, 따를 연",えん,そう
雄,수컷 웅,ゆう,お·おす
誠,정성 성,せい,まこと
緊,긴할 긴,きん,
巣,새집 소,そう,す
俳,배우 배,はい,
廃,폐할 폐,はい,すたる·すたれる
江,강 강,こう,え
僚,동료 료(요),りょう,
飼,기를 사,し,かう
聖,성인 성,せい,
吉,길할 길,きち·きつ,
羊,양 양,よう,ひつじ
踏,밟을 답,とう,ふまえる·ふむ
壊,무너질 괴,かい,こわす·こわれる
債,빚 채,さい,
恩,은혜 은,おん,
儀,거동 의,ぎ,
往,갈 왕,おう,
継,이을 계,けい,つぐ
滋,붙을 자,じ,
幻,헛보일 환,げん,まぼろし
煮,삶을 자,しゃ,にえる·にやす·にる
姫,아가씨 희,,ひめ
須,"모름지기 수, 수염 수",す,
誓,맹세할 서,せい,ちかう
把,잡을 파,は,
践,밟을 천,せん,
呈,"드릴 정, 한도 정",てい,
疎,성길 소,そ,うとい·うとむ
仰,우러를 앙,ぎょう·こう,あおぐ·おおせ
剛,굳셀 강,ごう,
疾,병 질,しつ,
征,칠 정,せい,
砕,부술 쇄,さい,くだく·くだける
謡,노래 요,よう,うたい·うたう
亀,"거북귀, 터질 균, 땅 이름 구",き,かめ
嫁,시집갈 가,か,とつぐ·よめ
謙,"겸손할 겸, 혐의 혐",けん,
嘆,"탄식할 탄, 또 우",たん,なげかわしい·なげく
菌,버섯 균,きん,
頻,자주 빈,ひん,
琴,거문고 금,きん,こと
棚,사다리 붕,,たな
酷,심할 혹,こく,
鶴,학 학,,つる
宰,재상 재,さい,
廊,"사랑채 랑(낭), 행랑 랑(낭)",ろう,
寂,고요할 적,じゃく·せき,さび·さびしい·さびれる
昌,창성할 창,しょう,さかん
伏,"엎드릴 복, 안을 부",ふく,ふす·ふせる
碁,바둑 기,ご,
俗,풍속 속,ぞく,
漠,넓을 막,ばく,
邪,"간사할 사, 그런가 아, 나머지 여",じゃ,
晶,맑을 정 ,しょう,
墨,먹 묵,ぼく,すみ
鎮,진압할 진,ちん,しずまる·しずめる
靖,편안할 정,せい,やすい·やすらか·やすんじる
洞,"골 동, 밝을 통",どう,ほら
履,밝을 리(이),り,はく
劣,못할 렬(열),れつ,おとる
殴,때릴 구,おう,なぐる
娠,아이 밸 신,しん,
奉,받들 봉,ぶ·ほう,たてまつる
憂,근심 우,ゆう,うれい·うれえる·うい
朴,성 박,ぼく,
亭,정자 정,てい,
也,"이끼 야, 어조사 야",や,か·なり·また·や
怪,괴이할 괴,かい,あやしい·あやしむ
酔,술 취할 취,すい,よう
惜,아낄 석,せき,おしい·おしむ
穫,"거둑 확, 땅 이름 호",かく,
佳,아름다울 가,か,
潤,불을 윤,じゅん,うるおう·うるおす·うるむ
旭,아침 해 욱,きょく,あさひ
悼,슬퍼할 도,とう,いたむ
乏,모자랄 핍,ぼう,とぼしい
該,"갖출 해, 마땅 해",がい,
該,"갖출 해, 마땅 해",ふ,おもむく
桑,뽕나무 상,そう,くわ
髄,골수 수,ずい,
盆,동이 분,ぼん,
穂,이삭 수,すい,
壮,"씩씩할 장, 장할 장",そう,
堤,둑 제,てい,つつみ
飢,주릴 기,き,うえる
傍,곁 방,ぼう,かたわら
疫,전염병 역,えき·やく,
累,"여러 루(누), 자주 루(누), 벌거벗을 라(나), 땅 이름 렵(엽)",るい,
痴,어리석을 치,ち,
搬,옮길 반,はん,
癒,병 나을 유,ゆ,いえる·いやす
錦,비단 금,きん,にしき
郭,"둘레 곽, 외성 곽",かく,
磯,물가 기,き,いそ
尿,오줌 뇨(요),にょう,
凶,흉할 흉,きょう,
吐,토할 토,と,はく
宴,잔치 연,えん,
賓,손 빈,ひん,
虜,사로잡을 로(노),りょ,
駒,망아지 구,,こま
陶,"질그릇 도, 사람 이름 요",とう,
鐘,쇠북 종,しょう,かね
憾,"섭섭할 감, 근심할 담",かん,
昆,"맏 곤, 벌레 곤, 뒤섞일 혼",こん,
粗,거칠 조,そ,あらい
訂,바로잡을 정,てい,
傘,우산 산,さん,かさ
騎,말 탈 기,き,
寧,"편안/편안할 녕(영), 편안/편안할 령(영)",ねい,
循,돌 순,じゅん,
忍,참을 인,にん,しのばせる·しのぶ
怠,게으를 태,たい,おこたる·なまける
如,"같을 여, 말 이을 이",じょ·にょ,
寮,동관 료(요),りょう,
鉛,납 연,えん,なまり
珠,구슬 주,しゅ,
凝,엉길 응,ぎょう,こらす·こる
錘,저울추 추,すい,おもり·つむ
銑,무쇠 선,せん,ずく
塑,흙 빚을 소,そ,
脹,부을 창,ちょう,はれる·ふくよか·ふくれる
朕,나 짐,ちん,
痘,역질 두,とう,
弐,두 이,に,
賦,부세 부,ふ,
丙,남녘 병,へい,
耗,소모할 모,こう·もう,
匁,몸매 문,,め·もんめ
濫,"넘칠 람(남), 동이 함",らん,
吏,"벼슬아치 리(이), 관리 리(이)",り,
嬉,아름다울 희,き,あそぶ·うれしい·たのしむ
蒼,푸를 창,そう,あお·あおい·しげる
暉,빛 휘,き,かがやく·ひかり·ひかる
只,"다만 지, 외짝 척",し,ただ
檀,박달나무 단,たん·だん,まゆみ
凱,개선할 개,かい·がい,かちどき·やわらぐ
彗,비 혜,え·けい·すい,はく·ほうき·ほうきぼし
梓,가래나무 재,し,あずさ·はんぎ
丑,"소 축, 추할 추",ちゅう,うし
叶,화합할 협,きょう,かなう
汐,"조수 석, 빠를 계, 빠를 혈",せき,うしお·しお
絢,"무늬 현, 끈 순",けん,あや
朔,초하루 삭,さく,きた·ついたち
伽,절 가,か·が·きゃ,とぎ
爽,시원할 상,そう,さわやか
黎,검을 려(여),り·れい,おおい·くろい·もろもろ
冴,얼 호,ご,こおる·さえる
旺,왕성할 왕,おう,
萌,움 맹,ほう·ぼう,きざす·たみめぐむ·めばえもえる·もやし
偲,책선할 시,さい·し,しのぶ
瑠,맑은 유리 류(유),る,
允,맏 윤,いん,じょう·まこと·まことに·ゆるす
蒔,모종 낼 시,し·じ,うえる·まく
鯉,잉어 리(이),り,こい·てがみ
遥,멀 요,よう,さまよう·とおい·ながい·はるか
矩,"모날 구, 법도 구",く,さしがね·のり
舜,순임금 순,しゅん,むくげ
瑛,옥빛 영,えい,
彪,범 표,ひゅう·ひょう,あや·まだら
卯,토끼 묘,ぼう,う
綺,비단 기,き,あや·いろう·うつくしい
茜,꼭두서니 천,せん,あかね
凌,업신여길 릉(능),りょう,しのぐ
皓,흴 호,こう,きよい·しろい·ひかる
洸,"성낼 광, 깊을 황",こう,ほのか
毬,공 구,きゅう,いが·まり
緋,비단 비,ひ,あか·あけ
鯛,도미 조,ちょう,たい
怜,"영리할 령(영), 불쌍히 여길 련(연)",れい·れん,あわれむ·さとい
邑,고을 읍,おう·ゆう,うれえる·くに·みやこ·むら
碧,푸를 벽,へき,あお·あおい·みどり
啄,"쫄 탁, 부리 주",たく·とく,ついばむ
穣,볏대 양,じょう,みのる·ゆたか
酉,닭 유,ゆう,とり·ひよみのとり
悌,공손할 제,だい·てい,
柚,"유자 유, 바디 축",じく·ちく·ゆ·ゆう,ゆず
亥,돼지 해,かい·がい,い
胤,자손 윤,いん,たね
叡,밝을 예,えい,あきらか·かしこい·さとい
茄,연줄기 가,か,なす·なすび·はす
侃,굳셀 간,かん,つよい
莞,"빙그레할 완, 왕골 관",かん,い·ふとい·むしろ
伎,재간 기,き,
誼,"정 의, 옳을 의",ぎ,よい·よしみ
鞠,"성 국, 국문할 국, 궁궁이 궁",きく,かがむ·とりしらべる·まり·やしなう
衿,옷깃 금,きん,えり
玖,옥돌 구,きゅう·く,
袈,가사 가,け,
絃,줄 현,げん,いと·つる
梧,오동나무 오,ご,あおぎり
瑚,산호 호,こ·ご,
倖,요행 행,こう,さいわい·へつらう
昂,오를 앙,こう·ごう,あがる·たかい·たかぶる
瑳,고울 차,さ,みがく
裟,가사 사,さ,
哉,어조사 재,さい,か·かな·や
采,"풍채 채, 캘 채",さい,
燦,빛날 찬,さん,あきらか·あざやか·きらめく
爾,너 이,じ·に,その·なんじ
紗,비단 사,さ·しゃ,うすぎぬ
竣,마칠 준,しゅん,おわる
醇,전국술 순,しゅん·じゅん,あつい·もっぱら
恕,용서할 서,しょ·じょ,おもいやる·ゆるす
捷,빠를 첩,しょう,かつ·はやい
梢,"나무 끝 초, 마들가리 소",しょう,かじ·こずえ
菖,창포 창,しょう,しょうぶ
丞,"정승 승, 나아갈 증",しょう·じょう,たすける
嵩,높은 산 숭,しゅう·すう,かさ·かさむ·たかい
碩,클 석,せき,おおきい
