日,날일,じつ·にち,か·ひ
方,"모 방,  본뜰 방, 괴물 망",ほう,かた
新,새 신,しん,あたらしい·あらた·にい
場,마당 장,じょう,ば
口,입 구,く·こう,くち
町,밭두둑 정,ちょう,まち
明,밝을 명,みょう·めい,あかす·あからむ·あかり·あかるい·あかるむ·あきらか·あく·あくる·あける
京,"서울 경, 언덕 원",きょう·けい,
空,빌 공,くう,あく·あける·から·そら
通,통할 통,つう·つ,かよう·とおす·とおる
言,"말씀 언, 화기애애할 은",げん·ごん,いう·こと
理,다스릴 리(이),り,
体,몸 체,たい·てい,からだ
作,지을 작,さ·さく,つくる
用,쓸 용,よう,もちいる
強,굳셀 강,きょう·ごう,つよい·つよまる·つよめる·しいる
足,"발 족, 지날 주",そく,あし·たす·たりる·たる
公,공평할 공,こう,おおやけ
野,들 야,や,の
思,"생각 사, 수염이 많을 새",し,おもう
家,"집 가, 계집 고",か·け,いえ·や
多,많을 다,た,おおい
心,마음 심,しん,こころ
教,가르칠 교,きょう,おしえる·おそわる
早,이를 조,そう·さっ,はやい·はやまる·はやめる
元,으뜸 원,がん·げん,もと
近,"가까울 근, 어조사 기",きん,ちかい
考,"생각할 고, 살필 고",こう,かんがえる
画,그림 화,が·かく,
海,바다 해,かい,うみ
売,팔 매,ばい,うる·うれる
知,알 지,ち,しる
道,길 도,どう·とう,みち
計,셀 계,けい,はからう·はかる
事,일 사,じ·ず,こと
朝,아침 조,ちょう,あさ
字,글자 자,じ,あざ
発,"필 발, 쏠 발",はつ·ほつ,
台,"별 태, 나 이, 대 대",たい·だい,
広,넓을 광,こう,ひろい·ひろがる·ひろげる·ひろまる·ひろめる
音,소리 음,おん·いん,おと·ね
者,놈 자,しゃ,もの
業,업 업,ぎょう·ごう,わざ
員,"인원 원, 더할 운",いん,
開,열 개,かい,あく·あける·ひらく·ひらける
少,적을 소,しょう,すくない·すこし
問,들을 문,もん,とい·とう·とん
代,대신할 대,たい·だい,かえる·かわる·よ·しろ
工,장인 공,く·こう,
動,움직일 동,どう,うごかす·うごく
止,그칠 지,し,とまる·とめる
主,"임그 주, 주인 주",しゅ·す,おも·ぬし
題,제목 제,だい,
切,"끊을 절, 온통 체",せつ·さい,きる·きれる
意,뜻 의,い,
度,"법도 도, 헤아릴 탁",ど·たく·と,たび
持,가질 지,じ,もつ
花,꽃 화,か,はな
赤,붉을 적,せき·しゃく,あか·あかい·あからむ·あからめる
青,푸를 청,せい·しょう,あお·あおい
世,인간 세,せ·せい,よ
安,편안 안,あん,やすい
楽,"즐길 락, 풍류 락, 좋아할 요",がく·らく,たのしい·たのしむ
院,집 원,いん,
店,가게 점,てん,みせ
界,지경 계,かい,
親,친할 친,しん,おや·したしい·したしむ
重,무거울 중,じゅう·ちょう,おもい·かさなる·かさねる·え
集,모을 집,しゅう,あつまる·あつめる·つどう
物,물건 물,ぶつ·もつ,もの
使,"하여금 사, 부릴 사",し,つかう
品,물건 품,ひん,しな
死,죽을 사,し,しぬ
始,비로소 시,し,はじまる·はじめる
運,옮길 운,うん,はこぶ
終,마칠 종,しゅう,おえる·おわる
答,대답 답,とう,こたえ·こたえる
夜,밤 야,や,よ·よる
住,살 주,じゅう,すまう·すむ
帰,돌아갈 귀,き,かえす·かえる
真,참 진,しん,ま
古,예 고,こ,ふるい·ふるす
有,있을 유,ゆう·う,ある
歌,노래 가,か,うた·うたう
買,살 매,ばい,かう
急,급할 급,きゅう,いそぐ
送,보낼 송,そう,おくる
図,그림 도,ず·と,はかる
週,주일 주,しゅう,
咲,필 소,,さく
召,부를 소,しょう,めす
缶,"장군 부, 두레박 관",かん,
隻,외짝 척,せき,
脂,기름 지,し,あぶら
肌,살 기,,はだ
靴,신 화,か,くつ
鈍,둔할 둔,どん,にぶい·にぶる
恥,부끄러울 치,ち,はじ·はじらう·はじる·はずかしい
泥,진흙 니(이),でい,どろ
隅,모퉁이 우,ぐう,すみ
偶,짝 우,ぐう,
辛,매울 신,しん,からい
磨,갈 마,ま,みがく
姓,성 성,しょう·せい,
筒,통 통,とう,つつ
粒,낟알 립(입),りゅう,つぶ
偉,클 위,い,えらい
畳,겹쳐질 첩,じょう,たたみ·たたむ
膚,살갗 부,ふ,
濯,씻을 탁,たく,
猫,고양이 묘,びょう,ねこ
塔,탑 탑,とう,
沸,"끓을 비, 용속을할 불",ふつ,わかす·わく
菓,"과자 과, 실과 과",か,
幾,몇 기,き,いく
帽,모자 모,ぼう,
枯,마를 고,こ,からす·かれる
涼,서늘할 량,りょう,すずしい·すずむ
舟,배 주,しゅう,ふな·ふね
符,부호 부,ふ,
憎,미울 증,ぞう,にくい·にくしみ·にくむ·にくらしい
肯,즐길 긍,こう,
燥,마를 조,そう,
畜,짐승 축,ちく,
坊,동네 방,ぼう·ぼっ,
挟,낄 협,きょう,はさまる·はさむ
曇,흐릴 담,どん,くもる
滴,물방울 적,てき,しずく·したたる
伺,엿볼 사,し,うかがう
村,마을 촌,そん,むら
合,합할 합,かっ·がっ·ごう,あう·あわす·あわせる
市,저자 시,し,いち
内,안 내,ない·だい,うち
回,돌아올 회,かい·え,まわす·まわる
米,쌀 미,べい·まい,こめ
当,마땅할 당,とう,あたる·あてる
首,머리 수,しゅ,くび
石,돌 석,しゃく·せき·こく,いし
数,셀 수,すう·す,かず·かぞえる
記,기록할 기,き,しるす
点,"점 점, 시들 다",てん,
活,"살 활, 물 콸콸 흐를 괄",かつ,
原,"언덕 원, 근원 원",げん,はら
交,사귈 교,こう,まざる·まじえる·まじる·まじわる·まぜる·かう·かわす
組,짤 조,そ,くみ·くむ
引,끌 인,いん,ひく·ひける
直,곧을 직,じき·ちょく,ただちに·なおす·なおる
対,대할 대,たい·つい,
部,떼 부,ぶ,
相,서로 상,そう·しょう,あい
定,정할 정,じょう·てい,さだまる·さだめる·さだか
実,열매 실,じつ,み·みのる
決,결단할 결,けつ,きまる·きめる
全,온전 전,ぜん,すべて·まったく
表,겉 표,ひょう,あらわす·あらわれる·おもて
調,"고를 조, 아침 주",ちょう,しらべる·ととのう·ととのえる
化,될 화,か·け,ばかす·ばける
期,기약할 기,き·ご,
番,"차례 번, 날랠 파",ばん,
取,가질 취,しゅ,とる
都,도읍 도,つ·と,みやこ
和,화할 화,わ·お,なごむ·なごやか·やわらぐ·やわらげる
平,평평할 평,びょう·へい,たいら·ひら
算,셈 산,さん,
受,받을 수,じゅ,うかる·うける
区,"지경 구, 구역 구",く,
竹,대 죽,ちく,たけ
県,"매달 현, 고을 현",けん,
進,"나아갈 진, 선사 신",しん,すすむ·すすめる
森,수풀 삼,しん,もり
線,줄 선,せん,
指,가리킬 지,し,さす·ゆび
声,소리 성,せい·しょう,こえ·こわ
予,미리 예,よ,
向,"향할 향, 성 상",こう,むかう·むく·むける·むこう
勝,이길 승,しょう,かつ·まさる
面,"낯 면, 밀가루 면",めん,おも·おもて·つら
委,맡길 위,い,ゆだねる
形,모양 형,ぎょう·けい,かた·かたち
反,돌이킬 반,はん·たん·ほん,そらす·そる
林,수풀 림,りん,はやし
頭,머리 두,ず·とう·と,あたま·かしら
所,바 소,しょ,ところ
次,버금 차,じ·し,つぎ·つぐ
門,문 문,もん,かど
王,임금 왕,おう,
係,맬 계,けい,かかり·かかる
感,느낄 감,かん,
投,"던질 투, 머무를 두",とう,なげる
打,칠 타,だ,うつ
島,섬 도,とう,しま
両,두 량,りょう,
式,법 식,しき,
議,의논할 의,ぎ,
民,백성 민,みん,たみ
連,이을 련(연),れん,つらなる·つらねる·つれる
談,말씀 담,だん,
流,흐를 류(유),りゅう·る,ながす·ながれる
谷,"굴 곡, 곡식 곡, 나라 이름 욕, 벼슬 이름 록",こく,たに
玉,구슬 옥,ぎょく,たま
選,가릴 선,せん,えらぶ
局,판 국,きょく,
放,놓을 방,ほう,はなす·はなつ·はなれる·ほうる
関,빗장 관,かん,かかわる·せき
光,빛 광,こう,ひかり·ひかる
球,공 구,きゅう,たま
科,과목 과,か,
戦,싸울 전,せん,たたかう·いくさ
最,가장 최,さい,もっとも
細,가늘 세,さい,こまか·こまかい·ほそい·ほそる
丸,둥글 환,がん,まる·まるい·まるめる
役,부릴 역,やく·えき,
身,몸 신,しん,み
約,맺을 약,やく,
太,클 태,た·たい,ふとい·ふとる
由,말미암을 유,ゆ·ゆう·ゆい,よし
法,법 법,ほう·はっ·ほっ,
的,과녁 적,てき,まと
要,요긴할 요,よう,かなめ·いる
治,"다스릴 치, 물 이름 지",じ·ち,おさまる·おさめる·なおす·なおる
成,이룰 성,せい·じょう,なす·なる
消,사라질 소,しょう,きえる·けす
神,귀신 신,しん·じん,かみ·かん·こう
戸,지게 호,こ,と
協,화합할 협,きょう,
機,틀 기,き,はた
加,더할 가,か,くわえる·くわわる
配,"나눌 배, 짝 배",はい,くばる
続,계속 속,ぞく,つづく·つづける
退,물러날 퇴,たい,しりぞく·しりぞける
準,"준할 준, 콧마루 절",じゅん,
認,"알 인, 적을 잉",にん,みとめる
息,쉴 식,そく,いき
造,지을 조,ぞう,つくる
技,재주 기,ぎ,わざ
航,배 항,こう,
復,"회복할 복, 다시 부",ふく,
冷,찰 랭(냉),れい,さます·さめる·つめたい·ひえる·ひや·ひやかす·ひやす
虫,벌레 충,ちゅう,むし
移,"옮길 이, 크게 할 치",い,うつす·うつる
雪,눈 설,せつ,ゆき
類,"무리 류(유), 치우칠 뢰(뇌)",るい,たぐい
個,낱 개,こ,
児,아이 아,じ·に,
論,"논할 론(논), 조리 륜(윤)",ろん,
印,도장 인,いん,しるし
輪,바퀴 륜(윤),りん,わ
板,널 판,はん·ばん,いた
非,아닐 비,ひ,
列,벌릴 렬(열),れつ,
熱,더울 열,ねつ,あつい
革,"가죽 혁, 중해질 극",かく,かわ
清,맑을 청,せい·しょう,きよい·きよまる·きよめる
覚,깨달을 각,かく,おぼえる·さます·さめる
遊,놀 유,ゆう·ゆ,あそぶ
億,억 억,おく,
芸,"평지 운, 재주 예, 심을 예",げい,
君,임금 군,くん,きみ
財,재물 재,ざい·さい,
識,"알 식, 적을 지, 깃발 치",しき,
毛,터럭 모,もう,け
便,"편할 편, 똥오줌 변",びん·べん,たより
停,머무를 정,てい,
